name,date,open,high,low,close,price,market_cap,total_volume
Bitcoin,07/10/2019,11436.43,12544.17,11436.43,12166.4,351.502,4780796277.1,50698218.39649164
Bitcoin,07/14/2019,11385.06,11804.56,10285.46,10285.46,347.484,4727528507.1,38735004.41273056
Bitcoin,07/18/2019,10911.35,10911.35,9538.83,10636.16,350.133,4764706150.575,44354135.28957544
Bitcoin,07/22/2019,10536.57,10774.28,10343.32,10343.32,344.615,4690951072.25,30644200.622725755
Bitcoin,07/26/2019,9936.38,9936.38,9799.31,9846.0,328.5340000000001,4473187530.400002,71798679.48126574
Bitcoin,07/30/2019,9447.68,9568.44,9447.68,9568.44,318.828,4342046795.7,76239460.27345972
Bitcoin,08/02/2019,10063.0,10529.17,10063.0,10529.17,309.765,4219673038.875,90976235.79233617
Bitcoin,08/06/2019,10791.2,11818.53,10791.2,11510.16,317.54,4326569823.5,60607669.3459044
Bitcoin,08/10/2019,11970.66,12024.33,11327.84,11327.84,328.7740000000001,4480153981.900002,64328493.85057997
Bitcoin,08/14/2019,11550.0,11550.0,10016.22,10016.22,319.501,4353792201.85,58024786.31176
Bitcoin,08/18/2019,10295.88,10324.99,10224.22,10309.87,329.886,4498284260.25,51126866.96604784
Bitcoin,08/22/2019,10895.97,10895.97,10124.06,10127.79,333.97,4555334101.5,58571793.10819222
Bitcoin,08/26/2019,10385.51,10385.51,10090.06,10334.91,322.194,4395934387.5,37974791.61572064
Bitcoin,08/30/2019,10167.89,10167.89,9485.14,9588.99,318.166,4342234118.2,75362825.06098935
Bitcoin,09/02/2019,9607.29,10323.02,9607.29,10323.02,327.7169708710151,4473844613.694206,93256490.21344973
Bitcoin,09/06/2019,10620.17,10620.17,10350.75,10350.75,314.568,4295536138.8,145862961.0588076
Bitcoin,09/10/2019,10461.55,10461.55,10121.1,10121.1,316.491,4322768586.675,67051620.38671447
Bitcoin,09/14/2019,10150.71,10401.32,10150.71,10349.55,312.6329999999999,4271645363.8499985,99471184.46915883
Bitcoin,09/18/2019,10305.68,10305.68,10158.85,10158.85,310.079,4237996980.525,71609763.01677348
Bitcoin,09/22/2019,10253.23,10253.23,9997.2,10041.3,317.379,4338943850.325,71036111.34880373
Bitcoin,09/26/2019,9699.5,9699.5,8098.81,8098.81,313.9920000000001,4293958347.0000014,46999364.08867299
Bitcoin,09/29/2019,8183.48,8225.11,8064.38,8064.38,314.446,4301448334.7,38855906.30053607
Bitcoin,10/02/2019,8271.29,8366.5,8271.29,8350.13,286.572,3921358112.1,118778941.40912902
Bitcoin,10/06/2019,8176.35,8176.35,7890.23,7890.23,260.936,3571639780.8,205500148.96968707
Bitcoin,10/10/2019,8182.25,8573.06,8180.69,8561.52,273.22,3740880426.5,155038125.45582142
Bitcoin,10/14/2019,8277.85,8347.35,8277.85,8347.35,285.3738000000001,3908408221.3500013,97002895.97640781
Bitcoin,10/18/2019,8175.86,8175.86,7957.31,7957.31,295.8725,4053238742.4375,110674232.97875299
Bitcoin,10/22/2019,7949.8,8220.92,7949.8,8045.29,284.4525,3897824162.25,86570544.47058573
Bitcoin,10/26/2019,7468.53,9217.24,7433.92,9217.24,289.5738000000001,3968992614.2850013,83478400.2771182
Bitcoin,10/30/2019,9502.02,9502.02,9171.87,9171.87,274.533,3763909199.925,92683835.63260388
Bitcoin,11/02/2019,9151.82,9302.83,9151.82,9302.83,267.184,3664201453.6,73256737.91089578
Bitcoin,11/06/2019,9204.29,9378.95,9204.29,9340.05,268.353667700943,3681154854.371071,78982214.88677162
Bitcoin,11/10/2019,9221.07,9221.07,8795.9,9043.67,221.436,3038251389.3,215752219.9219919
Bitcoin,11/14/2019,8729.92,8806.75,8652.03,8652.03,172.1479,2362639549.8525,236006920.8178313
Bitcoin,11/18/2019,8480.44,8508.5,8202.83,8202.83,210.5559,2890521922.995,257637517.29041365
Bitcoin,11/22/2019,8138.83,8138.83,7293.01,7293.01,205.816,2826188131.0,176217465.4940408
Bitcoin,11/26/2019,7309.69,7309.69,6935.74,7157.68,199.4914,2740019366.285,106431481.13147792
Bitcoin,11/29/2019,7483.75,7720.87,7438.62,7720.87,208.9892,2871292169.34,118664232.7276146
Bitcoin,12/02/2019,7556.4,7556.4,7308.98,7308.98,214.545,2948379298.875,105545327.33818196
Bitcoin,12/06/2019,7286.08,7530.92,7209.97,7530.92,210.5137,2893626589.035,94312137.93638834
Bitcoin,12/10/2019,7493.55,7508.32,7233.95,7233.95,224.0451,3080429686.665,99166469.19882473
Bitcoin,12/14/2019,7197.43,7247.35,7081.74,7081.74,232.0423000000001,3191202338.1525016,151229886.42783546
Bitcoin,12/18/2019,7108.56,7274.77,6627.16,7274.77,232.898,3203686663.5,126038219.2115576
Bitcoin,12/22/2019,7152.56,7488.2,7141.55,7488.2,248.096,3413521852.0,134933345.06544757
Bitcoin,12/26/2019,7335.21,7335.21,7204.18,7208.49,253.8388999999999,3493324595.8274984,142426844.88892275
Bitcoin,12/30/2019,7247.62,7394.03,7240.43,7240.43,271.2882000000001,3734336330.6400013,401755946.5274641
Bitcoin,01/02/2020,7195.15,7195.15,6963.85,6963.85,259.2356,3568728002.06,339951744.7443284
Bitcoin,01/06/2020,7300.35,7734.68,7300.35,7734.68,232.5329422304941,3203612158.433073,161971565.54864252
Bitcoin,01/10/2020,8147.42,8180.51,7832.8,8180.51,228.6354,3150704413.815,105832532.60469383
Bitcoin,01/14/2020,8012.09,8801.87,8012.09,8801.87,218.0233,3005342178.85,92459195.63435939
Bitcoin,01/18/2020,8820.85,8906.9,8720.92,8906.9,226.2697,3119897131.48,100844154.3350744
Bitcoin,01/22/2020,8690.38,8724.82,8631.25,8665.44,240.0193,3310466195.25,108043831.20772208
